iter	Passed	Remaining
482	887	950
483	889	948
484	891	946
485	893	945
486	895	943
487	897	941
488	899	940
489	901	938
490	903	937
491	905	935
492	907	933
493	909	931
494	911	929
495	913	928
496	915	926
497	917	924
498	919	923
499	921	921
500	923	919
501	925	917
502	927	915
503	929	914
504	931	912
505	933	911
506	935	909
507	937	907
508	939	905
509	941	904
510	943	902
511	945	900
512	947	899
513	949	897
514	951	895
515	953	894
516	955	892
517	957	890
518	959	889
519	961	887
520	963	885
521	965	884
522	967	882
523	969	880
524	971	878
525	973	877
526	975	875
527	977	874
528	979	872
529	981	870
530	983	868
531	985	866
532	987	865
533	989	863
534	991	861
535	993	859
536	995	858
537	997	856
538	999	855
539	1001	853
540	1004	851
541	1006	850
542	1008	848
543	1010	847
544	1012	845
545	1014	843
546	1017	842
547	1019	840
548	1021	839
549	1023	837
550	1025	835
551	1027	834
552	1029	832
553	1031	830
554	1033	828
555	1036	827
556	1038	825
557	1040	824
558	1042	822
559	1044	820
560	1046	819
561	1048	817
562	1050	815
563	1053	814
564	1055	812
565	1057	810
566	1059	809
567	1062	807
568	1064	806
569	1066	804
570	1068	802
571	1070	800
572	1072	799
573	1074	797
574	1076	795
575	1078	794
576	1080	792
577	1082	790
578	1085	788
579	1087	787
580	1090	786
581	1092	784
582	1094	782
583	1096	781
584	1098	779
585	1100	777
586	1102	775
587	1104	773
588	1106	772
589	1108	770
590	1110	768
591	1112	766
592	1114	765
593	1117	763
594	1119	761
595	1121	760
596	1123	758
597	1125	756
598	1127	754
599	1129	753
600	1132	751
601	1134	749
602	1136	748
603	1138	746
604	1140	744
605	1142	742
606	1144	740
607	1146	738
608	1148	737
609	1150	735
610	1152	733
611	1154	732
612	1156	730
613	1158	728
614	1161	726
615	1163	725
616	1165	723
617	1167	721
618	1169	719
619	1171	718
620	1173	716
621	1175	714
622	1177	712
623	1179	710
624	1181	709
625	1183	707
626	1185	705
627	1187	703
628	1189	701
629	1191	700
630	1193	698
631	1196	696
632	1198	694
633	1200	692
634	1202	691
635	1204	689
636	1206	687
637	1208	685
638	1210	683
639	1212	681
640	1214	680
641	1216	678
642	1218	676
643	1221	674
644	1222	673
645	1224	671
646	1226	669
647	1228	667
648	1230	665
649	1232	663
650	1234	661
651	1236	660
652	1238	658
653	1240	656
654	1242	654
655	1244	652
656	1246	650
657	1248	648
658	1250	646
659	1252	645
660	1254	643
661	1256	641
662	1258	639
663	1261	638
664	1263	636
665	1265	634
666	1267	632
667	1269	630
668	1271	629
669	1273	627
670	1275	625
671	1277	623
672	1280	621
673	1282	620
674	1284	618
675	1286	616
676	1288	614
677	1290	612
678	1292	611
679	1294	609
680	1296	607
681	1298	605
682	1300	603
683	1302	601
684	1304	599
685	1306	598
686	1308	596
687	1310	594
688	1312	592
689	1315	590
690	1317	589
691	1319	587
692	1321	585
693	1323	583
694	1325	581
695	1327	579
696	1329	578
697	1331	576
698	1334	574
699	1336	572
700	1337	570
701	1339	568
702	1341	566
703	1343	565
704	1346	563
705	1348	561
706	1350	559
707	1352	557
708	1354	556
709	1356	554
710	1359	552
711	1361	550
712	1363	548
713	1365	546
714	1367	545
715	1369	543
716	1371	541
717	1373	539
718	1375	537
719	1377	535
720	1379	533
721	1382	532
722	1384	530
723	1386	528
724	1388	526
725	1390	524
726	1392	522
727	1394	521
728	1396	519
729	1399	517
730	1401	515
731	1403	513
732	1405	512
733	1407	510
734	1409	508
735	1411	506
736	1413	504
737	1415	502
738	1417	500
739	1420	498
740	1422	497
741	1424	495
742	1426	493
743	1428	491
744	1430	489
745	1432	487
746	1435	486
747	1437	484
748	1439	482
749	1441	480
750	1443	478
751	1446	476
752	1448	475
753	1450	473
754	1452	471
755	1454	469
756	1456	467
757	1459	465
758	1461	463
759	1463	462
760	1465	460
761	1467	458
762	1469	456
763	1472	454
764	1474	452
765	1476	451
766	1478	449
767	1481	447
768	1483	445
769	1485	443
770	1487	441
771	1489	440
772	1491	438
773	1493	436
774	1495	434
775	1498	432
776	1500	430
777	1502	428
778	1504	426
779	1506	425
780	1509	423
781	1511	421
782	1513	419
783	1515	417
784	1517	415
785	1519	413
786	1522	411
787	1524	410
788	1526	408
789	1529	406
790	1531	404
791	1533	402
792	1535	400
793	1538	399
794	1540	397
795	1542	395
796	1544	393
797	1546	391
798	1548	389
799	1550	387
800	1552	385
801	1554	383
802	1556	381
803	1558	380
804	1561	378
805	1563	376
806	1565	374
807	1567	372
808	1569	370
809	1571	368
810	1573	366
811	1576	364
812	1578	362
813	1580	361
814	1582	359
815	1584	357
816	1586	355
817	1588	353
818	1591	351
819	1592	349
820	1594	347
821	1597	345
822	1599	343
823	1601	342
824	1603	340
825	1605	338
826	1607	336
827	1609	334
828	1611	332
829	1613	330
830	1615	328
831	1617	326
832	1619	324
833	1621	322
834	1623	320
835	1625	318
836	1628	317
837	1630	315
838	1632	313
839	1634	311
840	1636	309
841	1638	307
842	1640	305
843	1643	303
844	1645	301
845	1647	299
846	1649	297
847	1651	296
848	1653	294
849	1655	292
850	1657	290
851	1660	288
852	1662	286
853	1664	284
854	1666	282
855	1668	280
856	1670	278
857	1672	276
858	1674	274
859	1676	272
860	1679	271
861	1681	269
862	1683	267
863	1685	265
864	1687	263
865	1689	261
866	1691	259
867	1693	257
868	1695	255
869	1698	253
870	1700	251
871	1702	249
872	1704	247
873	1706	246
874	1708	244
875	1710	242
876	1712	240
877	1715	238
878	1717	236
879	1719	234
880	1721	232
881	1723	230
882	1725	228
883	1727	226
884	1729	224
885	1731	222
886	1734	220
887	1736	218
888	1738	217
889	1740	215
890	1742	213
891	1744	211
892	1746	209
893	1748	207
894	1751	205
895	1753	203
896	1755	201
897	1757	199
898	1759	197
899	1761	195
900	1763	193
901	1765	191
902	1768	189
903	1770	187
904	1772	186
905	1774	184
906	1776	182
907	1778	180
908	1780	178
909	1782	176
910	1785	174
911	1787	172
912	1789	170
913	1791	168
914	1793	166
915	1795	164
916	1797	162
917	1799	160
918	1801	158
919	1804	156
920	1806	154
921	1808	152
922	1810	151
923	1812	149
924	1814	147
925	1817	145
926	1819	143
927	1821	141
928	1823	139
929	1825	137
930	1827	135
931	1829	133
932	1831	131
933	1834	129
934	1836	127
935	1838	125
936	1840	123
937	1842	121
938	1844	119
939	1847	117
940	1849	115
941	1851	113
942	1853	112
943	1855	110
944	1857	108
945	1859	106
946	1861	104
947	1864	102
948	1866	100
949	1868	98
950	1870	96
951	1872	94
952	1874	92
953	1876	90
954	1878	88
955	1880	86
956	1882	84
957	1884	82
958	1886	80
959	1888	78
960	1890	76
961	1892	74
962	1894	72
963	1896	70
964	1898	68
965	1900	66
966	1902	64
967	1904	62
968	1906	60
969	1908	59
970	1910	57
971	1912	55
972	1914	53
973	1917	51
974	1919	49
975	1921	47
976	1923	45
977	1925	43
978	1927	41
979	1929	39
980	1932	37
981	1934	35
982	1936	33
983	1938	31
984	1940	29
985	1942	27
986	1944	25
987	1946	23
988	1948	21
989	1950	19
990	1952	17
991	1954	15
992	1956	13
993	1958	11
994	1960	9
995	1962	7
996	1964	5
997	1966	3
998	1968	1
999	1971	0
