iter	RMSE
269	5.962233838
270	5.955833267
271	5.949775883
272	5.945066461
273	5.938121088
274	5.931907637
275	5.92584949
276	5.919465122
277	5.913936129
278	5.908903033
279	5.904091015
280	5.899840489
281	5.894801601
282	5.890297359
283	5.88427688
284	5.87792319
285	5.87252044
286	5.866314767
287	5.861634342
288	5.857004541
289	5.852690704
290	5.847854028
291	5.843583024
292	5.839383263
293	5.834637646
294	5.829131971
295	5.825042991
296	5.819932072
297	5.81561631
298	5.810498374
299	5.804920634
300	5.801314008
301	5.796149538
302	5.790966683
303	5.786666726
304	5.782417722
305	5.778815903
306	5.775696692
307	5.771711362
308	5.767178543
309	5.761585497
310	5.757651889
311	5.753702459
312	5.748722903
313	5.74445304
314	5.740068353
315	5.736169616
316	5.731800289
317	5.728561281
318	5.724192055
319	5.721023862
320	5.716962442
321	5.712683136
322	5.708388381
323	5.704169673
324	5.700564876
325	5.697184922
326	5.693268807
327	5.689889789
328	5.686934163
329	5.682691161
330	5.678682169
331	5.675207929
332	5.6714816
333	5.667051875
334	5.663603821
335	5.660753171
336	5.657275597
337	5.653818046
338	5.651323917
339	5.649224611
340	5.64559819
341	5.643123306
342	5.640593893
343	5.636476538
344	5.632956722
345	5.629448853
346	5.626775784
347	5.623492805
348	5.620119674
349	5.617058445
350	5.613603305
351	5.611297955
352	5.609154597
353	5.605264526
354	5.602036618
355	5.599032308
356	5.595884674
357	5.592615662
358	5.589908813
359	5.586362351
360	5.582984311
361	5.580407397
362	5.577390957
363	5.574200275
364	5.571149815
365	5.568100194
366	5.565363137
367	5.562578035
368	5.559565677
369	5.557126516
370	5.554616314
371	5.551732918
372	5.548974728
373	5.54515944
374	5.543388505
375	5.541219659
376	5.539050394
377	5.537094924
378	5.533488815
379	5.531533112
380	5.528478574
381	5.525145607
382	5.522906362
383	5.520493944
384	5.517735149
385	5.514374792
386	5.512153713
387	5.508605811
388	5.506017375
389	5.503037314
390	5.500882138
391	5.499019174
392	5.496462858
393	5.493677062
394	5.49078855
395	5.489635395
396	5.487892122
397	5.486314927
398	5.484436508
399	5.481872063
400	5.480114234
401	5.47741611
402	5.475773605
403	5.473242499
404	5.470700444
405	5.469122292
406	5.46686814
407	5.4648183
408	5.463514508
409	5.460510524
410	5.458464205
411	5.456558249
412	5.45502189
413	5.453256412
414	5.451326749
415	5.448654784
416	5.446850294
417	5.444996978
418	5.442568962
419	5.440243251
420	5.438566617
421	5.435520698
422	5.433666825
423	5.432069769
424	5.430348589
425	5.428378333
426	5.426030239
427	5.424515953
428	5.422659103
429	5.419730357
430	5.418383659
431	5.416967444
432	5.414916441
433	5.413699917
434	5.41222817
435	5.41044958
436	5.409740518
437	5.408031842
438	5.406250814
439	5.40498525
440	5.403554781
441	5.402129235
442	5.400591056
443	5.399134961
444	5.397962734
445	5.396864001
446	5.395216445
447	5.393606944
448	5.392445284
449	5.389955404
450	5.388827849
451	5.386939506
452	5.385460577
453	5.384182485
454	5.38245973
455	5.381333093
456	5.379634654
457	5.378092405
458	5.376862243
459	5.374985537
460	5.374068928
461	5.372981794
462	5.371048695
463	5.369093645
464	5.368036884
465	5.366502602
466	5.36548159
467	5.363720923
468	5.361851602
469	5.360026235
470	5.358301577
471	5.357034041
472	5.355798123
473	5.354114768
474	5.35306214
475	5.351316425
476	5.349459581
477	5.347936628
478	5.346629083
479	5.345213043
480	5.343911529
481	5.34298435
482	5.341273959
483	5.339956775
484	5.338368144
485	5.337843451
486	5.336273495
487	5.334389816
488	5.333405441
489	5.332249656
490	5.331036547
491	5.329571161
492	5.328248846
493	5.326621894
494	5.325411782
495	5.32424465
496	5.322837319
497	5.32088766
498	5.320088815
499	5.318753985
500	5.317499349
501	5.316551876
502	5.315085919
503	5.314178869
504	5.313497865
505	5.312132799
506	5.310320327
507	5.308837389
508	5.306697131
509	5.305560596
510	5.303637608
511	5.302633207
512	5.301524948
513	5.30086974
514	5.299326052
515	5.298278249
516	5.296321007
517	5.295064833
518	5.293976451
519	5.293035653
520	5.292036316
521	5.290562982
522	5.28883781
523	5.288356134
524	5.286091658
525	5.284412915
526	5.283393531
527	5.281687979
528	5.280795272
529	5.280185433
530	5.279222801
531	5.277807255
532	5.277602851
533	5.276798274
534	5.275564117
535	5.274369157
536	5.272741183
537	5.272127994
538	5.27015229
539	5.268827923
540	5.267672638
541	5.26670944
542	5.266067706
543	5.264468729
544	5.263733218
545	5.262609231
546	5.261193359
547	5.259661267
548	5.258130098
549	5.256893437
550	5.255425276
551	5.254740304
552	5.253793214
553	5.251815252
554	5.250276107
555	5.249403049
556	5.248459429
557	5.246949982
558	5.245799589
559	5.245050603
560	5.244219598
561	5.24314124
562	5.241470192
563	5.240444514
564	5.239709426
565	5.238526146
566	5.237537441
567	5.23650123
568	5.235549227
569	5.234496866
570	5.23389242
571	5.232652306
572	5.232082678
573	5.23139273
574	5.230482921
575	5.228862953
576	5.227444081
577	5.22646643
578	5.22533519
579	5.224707647
580	5.223539128
581	5.222633528
582	5.221849082
583	5.220663543
584	5.220220044
585	5.219539482
586	5.218226063
587	5.217421714
588	5.216938307
589	5.216055475
590	5.214906454
591	5.214132673
592	5.213279563
593	5.212201812
594	5.210903715
595	5.209747377
596	5.208769463
597	5.208270072
598	5.207218139
599	5.206716717
600	5.206105616
601	5.205083327
602	5.204195651
603	5.203458542
604	5.202239372
605	5.201679489
606	5.201135545
607	5.200339393
608	5.199244156
609	5.198609336
610	5.197137415
611	5.196410808
612	5.195761451
613	5.195130797
614	5.193855857
615	5.191866104
616	5.191091456
617	5.190178389
618	5.189398677
619	5.189109208
620	5.18782205
621	5.186777895
622	5.185566723
623	5.184862374
624	5.183897795
625	5.183357397
626	5.182784822
627	5.18168248
628	5.180694117
629	5.179936798
630	5.178523939
631	5.177876299
632	5.177264943
633	5.176761756
634	5.176401892
635	5.175753002
636	5.175107678
637	5.174451598
638	5.173640708
639	5.172757314
640	5.172164146
641	5.171441778
642	5.170637175
643	5.170010381
644	5.168694698
645	5.167630036
646	5.166812433
647	5.165778627
648	5.16489688
649	5.16358419
650	5.162656943
651	5.160973123
652	5.160119492
653	5.159020804
654	5.15860349
655	5.157881256
656	5.157437676
657	5.156767951
658	5.155638735
659	5.154952062
660	5.154325486
661	5.153376059
662	5.152387166
663	5.151793479
664	5.151089887
665	5.150226769
666	5.148967566
667	5.147311085
668	5.145828676
669	5.144777897
670	5.143907719
671	5.14317015
672	5.142466662
673	5.140567429
674	5.139393863
675	5.138276097
676	5.137846313
677	5.137144672
678	5.135950863
679	5.135015815
680	5.134599075
681	5.133815281
682	5.133122675
683	5.132638763
684	5.132222297
685	5.131739788
686	5.131269934
687	5.130436127
688	5.129695736
689	5.127854315
690	5.127218354
691	5.126806168
692	5.126393456
693	5.125648621
694	5.12456829
695	5.123709502
696	5.123083283
697	5.122327854
698	5.121720127
699	5.120992298
700	5.120175866
701	5.11885316
702	5.118454155
703	5.117356082
704	5.116930693
705	5.116293405
706	5.11573261
707	5.115330393
708	5.114659688
709	5.114148366
710	5.112703193
711	5.111960121
712	5.111285869
713	5.110655076
714	5.109951615
715	5.109407323
716	5.107645733
717	5.106567564
718	5.105804087
719	5.105214715
720	5.104291965
721	5.103391846
722	5.102697373
723	5.102282817
724	5.101187439
725	5.099889254
726	5.099424158
727	5.098113424
728	5.097400485
729	5.096765395
730	5.096123436
731	5.095820745
732	5.095254779
733	5.094787509
734	5.094284479
735	5.093282628
736	5.092463278
737	5.092025517
738	5.091257744
739	5.090569364
740	5.089522322
741	5.089051248
742	5.088700191
743	5.088502867
744	5.087939303
745	5.08705339
746	5.08657173
747	5.085954328
748	5.085042021
749	5.0845396
750	5.084133228
751	5.083424931
752	5.082887765
753	5.082179558
754	5.081393788
755	5.080886121
756	5.080175128
757	5.079843755
758	5.079293671
759	5.078253093
760	5.077747908
761	5.076881403
762	5.075369059
763	5.074176493
764	5.073092154
765	5.072732965
766	5.072360358
767	5.071915519
768	5.071225956
769	5.070318483
770	5.069606451
771	5.068972477
772	5.068090974
773	5.067717476
774	5.067238975
775	5.066292113
776	5.065914134
777	5.065234618
778	5.06480838
779	5.064289846
780	5.063480781
781	5.062210066
782	5.061839974
783	5.061404073
784	5.060095202
785	5.059500313
786	5.058449715
787	5.05797702
788	5.057067883
789	5.056463911
790	5.055941561
791	5.054985426
792	5.05381437
793	5.052490714
794	5.05190223
795	5.050951798
796	5.049630387
797	5.049252344
798	5.048815038
799	5.047670105
800	5.0471981
801	5.046769166
802	5.045610542
803	5.044942148
804	5.043632413
805	5.043307942
806	5.042791815
807	5.042039419
808	5.041337215
809	5.039990786
810	5.039412116
811	5.038896805
812	5.037772677
813	5.03723481
814	5.036759072
815	5.036132117
816	5.035382754
817	5.034275679
818	5.033171497
819	5.032644635
820	5.032031958
821	5.031440646
822	5.030445454
823	5.02967018
824	5.028576837
825	5.02782424
826	5.027460444
827	5.026947915
828	5.026497057
829	5.026119963
830	5.025439452
831	5.023953443
832	5.02274444
833	5.022013952
834	5.021170646
835	5.020698256
836	5.019492798
837	5.018875676
838	5.018333741
839	5.017298599
840	5.0168666
841	5.016252683
842	5.015458058
843	5.014942775
844	5.014105502
845	5.012916563
846	5.011533967
847	5.010933519
848	5.010210376
849	5.009334465
850	5.008188116
851	5.007482556
852	5.006649565
853	5.005341367
854	5.004735371
855	5.00338514
856	5.002884974
857	5.002411456
858	5.002000898
859	5.001624619
860	5.001241946
861	5.000757667
862	5.00049989
863	5.000158407
864	4.999461552
865	4.998817089
866	4.997697517
867	4.997437076
868	4.99631052
869	4.995669391
870	4.994732878
871	4.994173089
872	4.99289582
873	4.991791887
874	4.991204464
875	4.989632146
876	4.989100101
877	4.988733198
878	4.988229682
879	4.987737635
880	4.987278637
881	4.98678389
882	4.986486238
883	4.985866808
884	4.985163204
885	4.984032765
886	4.983307041
887	4.982921138
888	4.982067419
889	4.981573817
890	4.980813169
891	4.980424158
892	4.979817537
893	4.979056937
894	4.97797357
895	4.977613393
896	4.976499852
897	4.976076619
898	4.975250336
899	4.974637892
900	4.973798697
901	4.973233795
902	4.972932768
903	4.971794715
904	4.970982353
905	4.970650285
906	4.969881441
907	4.969046437
908	4.968268987
909	4.967826325
910	4.967344435
911	4.966157392
912	4.96577926
913	4.965130108
914	4.964557944
915	4.96395396
916	4.962858726
917	4.962381913
918	4.962252507
919	4.961295036
920	4.960702739
921	4.959965736
922	4.95968602
923	4.958943798
924	4.958707962
925	4.958337115
926	4.957843773
927	4.956732514
928	4.955771548
929	4.954612452
930	4.953886956
931	4.953375141
932	4.953168185
933	4.952588551
934	4.951996416
935	4.95158178
936	4.951057381
937	4.950476267
938	4.950123008
939	4.949034268
940	4.948510997
941	4.948001874
942	4.947582097
943	4.946778599
944	4.946197471
945	4.945651055
946	4.945411968
947	4.945081948
948	4.944020964
949	4.943427123
950	4.943045873
951	4.941567628
952	4.940859419
953	4.939736242
954	4.938632708
955	4.937778594
956	4.936861239
957	4.935748917
958	4.935055561
959	4.934494521
960	4.933482663
961	4.932335874
962	4.931776463
963	4.931423003
964	4.930713214
965	4.929783574
966	4.928925562
967	4.928370726
968	4.92767767
969	4.927233769
970	4.926840853
971	4.92646189
972	4.925824115
973	4.925003177
974	4.924689238
975	4.923983622
976	4.922991962
977	4.922578819
978	4.921771109
979	4.920995621
980	4.920489323
981	4.920015485
982	4.918917276
983	4.918486638
984	4.91827108
985	4.917900224
986	4.917359362
987	4.916924482
988	4.916034936
989	4.915518257
990	4.914686984
991	4.913776415
992	4.913395543
993	4.91276077
994	4.912389162
995	4.911866773
996	4.91121369
997	4.910741823
998	4.910106805
999	4.909756603
